City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
84,Ribeira Grande,96,PT,1595287820,71,38.52,-28.7,69.4,3.0
85,Saskylakh,77,RU,1595287820,50,71.92,114.08,57.63,8.25
86,Bredasdorp,16,ZA,1595287782,93,-34.53,20.04,60.8,10.29
87,Hobart,75,AU,1595287719,76,-42.88,147.33,50.0,6.93
88,Muswellbrook,0,AU,1595287820,56,-32.27,150.9,48.99,5.01
89,Sambava,73,MG,1595287820,79,-14.27,50.17,68.77,14.2
90,Ola,0,RU,1595287821,63,59.58,151.28,62.8,5.75
91,Huilong,98,CN,1595287821,96,31.81,121.66,78.01,6.53
92,Kapaa,1,US,1595287669,62,22.08,-159.32,84.2,14.99
93,Ancud,90,CL,1595287821,87,-41.87,-73.82,46.4,4.7
94,Olinda,20,BR,1595287821,65,-8.01,-34.86,78.8,11.41
95,Dikson,100,RU,1595287822,95,73.51,80.55,39.78,12.73
96,Esperance,65,AU,1595287822,76,-33.87,121.9,48.2,8.05
97,Busselton,61,AU,1595287822,65,-33.65,115.33,51.01,15.52
98,Cidreira,81,BR,1595287823,77,-30.18,-50.21,66.96,6.93
99,Nelson Bay,20,AU,1595287823,66,-32.72,152.15,52.0,13.87
100,Qaqortoq,10,GL,1595287823,41,60.72,-46.03,57.2,8.05
101,Faya,77,SA,1595287823,63,18.39,42.45,66.2,6.11
102,Clarence Town,20,AU,1595287823,66,-32.58,151.78,53.01,13.87
103,Bluff,93,NZ,1595287781,83,-46.6,168.33,39.0,3.0
104,Buta,33,CD,1595287824,91,2.79,24.73,67.46,1.7
105,Kasongo-Lunda,16,CD,1595287824,34,-6.47,16.82,65.66,1.03
106,Maridi,0,SS,1595287824,96,4.92,29.47,64.94,0.85
107,Dalbandin,0,PK,1595287824,18,28.89,64.41,79.75,5.17
108,Douglas,1,US,1595287824,61,41.3,-96.17,81.0,6.93
109,Viedma,100,AR,1595287824,92,-40.81,-63.0,48.0,3.0
110,Touros,75,BR,1595287824,94,-5.2,-35.46,73.4,9.17
111,Cuamba,6,MZ,1595287825,89,-14.8,36.54,57.07,2.91
112,Saint Paul Harbor,1,US,1595287825,43,57.79,-152.41,73.4,11.41
113,Isangel,20,VU,1595287825,57,-19.55,169.27,75.2,8.05
114,Kahului,20,US,1595287732,43,20.89,-156.47,91.4,23.04
115,George Town,20,MY,1595287653,94,5.41,100.34,78.01,2.24
116,Butaritari,51,KI,1595287825,67,3.07,172.79,83.07,3.74
117,Cherskiy,94,RU,1595287825,32,68.75,161.3,74.28,6.6
118,Ketchikan,90,US,1595287826,100,55.34,-131.65,59.0,11.41
119,Atuona,52,PF,1595287799,78,-9.8,-139.03,80.1,15.41
120,Souillac,75,MU,1595287826,68,-20.52,57.52,68.0,11.41
121,Erzin,0,TR,1595287826,88,36.96,36.2,80.01,0.87
122,Kutum,15,SD,1595287826,71,14.2,24.67,72.95,6.6
123,Vao,59,NC,1595287827,63,-22.67,167.48,68.76,12.08
124,Ust-Kuyga,55,RU,1595287827,47,70.02,135.6,80.1,3.96
125,Octeville,0,FR,1595287827,76,49.63,-1.64,60.01,4.7
126,Utica,75,US,1595287827,51,43.1,-75.23,82.4,11.41
127,Karpathos,0,GR,1595287827,76,35.51,27.21,76.05,17.16
128,Lompoc,1,US,1595287827,60,34.64,-120.46,69.8,16.11
129,Castelldefels,20,ES,1595287828,78,41.28,1.97,75.99,4.7
130,Barrow,75,US,1595287828,74,71.29,-156.79,35.6,6.93
131,Central Point,1,US,1595287828,16,42.38,-122.92,100.99,10.29
132,Saint George,1,US,1595287828,10,37.1,-113.58,105.8,20.8
133,Port Alfred,0,ZA,1595287828,73,-33.59,26.89,58.39,4.09
134,Christchurch,100,NZ,1595287665,62,-43.53,172.63,57.99,5.82
135,Paramonga,16,PE,1595287829,87,-10.67,-77.83,59.7,6.91
136,Flinders,3,AU,1595287829,60,-34.58,150.86,55.99,5.99
137,Laguna,1,US,1595287762,39,38.42,-121.42,89.01,11.41
138,Saint-Philippe,75,RE,1595287829,63,-21.36,55.77,66.2,6.93
139,San Francisco,20,US,1595287755,63,37.77,-122.42,68.0,23.04
140,Acajutla,20,SV,1595287563,55,13.59,-89.83,87.8,3.67
141,Omsk,0,RU,1595287715,77,55.0,73.4,59.0,11.18
142,Znamenskoye,0,RU,1595287830,84,57.13,73.83,53.58,7.27
143,Bethel,1,US,1595287730,45,41.37,-73.41,89.01,5.82
144,Saldanha,0,ZA,1595287830,81,-33.01,17.94,48.2,2.24
145,Lábrea,35,BR,1595287830,58,-7.26,-64.8,79.56,1.5
146,Esmeraldas,75,BR,1595287830,68,-19.76,-44.31,68.0,5.82
147,Soyo,1,AO,1595287830,91,-6.13,12.37,70.81,4.99
148,Yulara,90,AU,1595287830,93,-25.24,130.99,50.0,10.29
149,Necochea,100,AR,1595287830,95,-38.55,-58.74,52.0,15.01
150,Riverton,0,US,1595287831,15,40.52,-111.94,91.99,5.01
151,Udachny,90,RU,1595287831,93,66.42,112.4,51.8,6.71
152,Abu Kamal,0,SY,1595287831,18,34.45,40.92,87.39,14.09
153,Kota Belud,20,MY,1595287831,88,6.35,116.43,78.8,4.7
154,Lata,36,PT,1595287831,72,40.16,-8.33,70.0,3.27
155,Cap Malheureux,64,MU,1595287832,53,-19.98,57.61,70.0,7.0
156,Buin,75,CL,1595287832,66,-33.73,-70.75,57.2,10.29
157,Vanderhoof,52,CA,1595287832,33,54.02,-124.02,81.3,3.96
158,Shitanjing,8,CN,1595287832,50,39.23,106.34,70.95,15.23
159,Pangnirtung,75,CA,1595287833,93,66.15,-65.71,46.4,14.99
160,Vestmanna,34,FO,1595287833,93,62.16,-7.17,48.2,2.24
161,Narsaq,17,GL,1595287833,41,60.92,-46.05,57.2,8.05
162,Marsabit,92,KE,1595287835,72,2.33,37.99,60.55,16.82
